Timestamp,,Artist?,Album Name?,"Version Number? (This is usually needed to catalog, but it's difficult to find sometimes so don't worry too much.)","Is the CD case broken (breaks in half, CD won't stay in place, etc.)?","If you know the label number but the CD case itself is missing, please fill in ""N/A"" for the required questions and select this as an option.",Anything else you’d like to add or mention?,Rateyourmusic.com ?,Other:
3/23/2023 17:06:03,8760,Dave Cloud,Presents... Songs I Will Always Sing,BLD13,No,,,,
3/23/2023 17:09:20,8761,Dismember,Hate Campaign,27361 64192,Yes,,,,
3/23/2023 17:09:48,8762,The Czars,Val,,No,,,,
3/23/2023 17:10:50,8764,The Spitfires,In too deep again,JR048,No,,,,
3/23/2023 17:14:18,8765,Run DMC,Raising Hell,07822-16408-2,No,,,,
3/23/2023 17:16:18,8766,Zeke,Dirty Sanchez,86562-2,No,,,,
3/23/2023 17:16:56,8767,The Letter E,ep,TS-001,No,,,,
3/23/2023 17:17:35,8768,Three Finger Cowboy,Hooray for Love,DAM 19023,No,,,,
3/23/2023 17:18:31,8769,David Singer,The Cost of Living,sws101,No,,,,
3/23/2023 17:22:37,8770,Home,XIV,AR012,No,,,,
3/23/2023 17:23:39,8771,DJ Food,Kaleidoscope,zen cd47,No,,,,
3/23/2023 17:24:09,8772,Console,Rocket In The Pocket,ole 424-2,No,,,,
3/23/2023 17:27:57,8773,Sven Väth,Contact,1054-2,No,,,,
3/23/2023 17:39:13,8774,Mix Master Mike,Eye of the Cyklops,ASPDODEL 0124,Yes,,,,
3/23/2023 17:51:42,8775,Keoki,djmixed.com/Keoki,MM 80128-2,No,,,,
3/23/2023 17:40:51,8776,Fatboy Slim,On the Floor at the Boutique,ASW 49130-2 7243 8 49130 2 1,No,,,,
3/23/2023 17:41:33,8777,Departure Lounge,Out of THere,FLY-039,No,,,,
3/23/2023 17:42:26,8778,Broadcast,The Noise Made By People,TBCO1413,No,,,,
3/23/2023 17:42:57,8779,The Halifax Pier,The Halifax Pier,TRR 19,No,,,,
3/23/2023 17:44:25,8780,Reggie and the Full Effect,Promotional Copy,VR343/HV004,No,,,,
3/23/2023 17:52:30,8781,Elliott Smith,Figure 8,0044-50225-2,No,,,,
3/23/2023 17:46:49,8782,The Groove Ghoulies,Travels with my Amp,LK246,No,,,,
3/23/2023 17:47:43,8783,Melvins,The Crybaby,IPC-6,No,,,,
3/23/2023 17:49:03,8784,Vue,Vue,SP465,No,,,,
3/16/2023 16:09:43,8786,Roy Nathanson,Fire at Keaton's Bar and Grill,657036 1024-2,Yes,,,,
3/23/2023 17:49:45,8786,Roy Nathanson,Fire at Keaton's Bar & Grill,657036 1024-2,No,,,,
3/16/2023 16:08:57,8787,Two Ton Boa,Two Ton Boa,KRS 351,No,,,,
3/23/2023 17:50:49,8787,Two Ton Boa,Two Ton Boa,KRS 351,No,,,,
3/16/2023 16:08:09,8788,Spinanes,Imp Years,MRG160,No,,,,
3/23/2023 17:53:12,8788,The Spinanes,Imp Music ,MRG160,Yes,,,,
3/16/2023 16:07:52,8789,Great Lakes,Great Lakes,KC-044,No,,,,
3/23/2023 17:56:14,8789,Great Lakes,Great Lakes,KC-044,No,,,,
3/13/2023 18:21:51,8790,Sientific American,Saints of Infinity,partno.slabco045/this is life sa5,No,,,,
3/23/2023 17:57:18,8790,Sientific American,Saints of Infinity,partno.slabco045/this is sa5,No,,,,
3/13/2023 18:18:08,8791,Duke Mushroom Presents...,Singin' in the Brain,,No,,No cover or back,,
3/13/2023 18:12:59,8792,Waldeck,Balance of the Force ,EMA 61003-2,No,,,,
3/13/2023 18:09:51,8793,Baby Namboos,Hard Times,VPALMCD 2031-2/2,No,,,,
3/13/2023 18:07:35,8794,Gluecifer,Get the Horn,SPCD 506,Yes,,,,
3/13/2023 18:05:59,8795,Casiotone for the Painfully Alone,Answering Machine Music,,No,,,,
3/13/2023 18:04:11,8796,Buzzcocks,Time's Up,9121-2 ,No,,,,
3/13/2023 18:01:37,8797,V/A,Victory Style IV,VR115,No,,,,
3/23/2023 17:59:07,8799,Lou Reed,Ecstasy Reprise,9 47425-2,No,,,,
6/8/2023 19:20:17,8800,New Order,Brotherhood,9 25511-2,No,,,,
3/13/2023 17:58:16,8802,Smog,Dongs of Sevotion,DC169CD,No,,,,
3/13/2023 18:26:11,8803,Lois Maffeo & Brendan Canty,The Union Themes,KRS356,No,,,,
3/13/2023 18:28:53,8804,Breezy Porticos,Breezy Porticos,,Yes,,No back or front covers,,
3/13/2023 18:29:58,8805,Cursive,Domestica,LBJ-31,Yes,,,,
3/13/2023 18:31:16,8806,V/A,Gimme Indie Rock V.1,6453-2,No,,,,
3/13/2023 18:34:27,8807,Speedy J,A Shocking Hobby ,,No,,,,
3/13/2023 18:36:41,8808,V/A,Ascendant Moods,,No,,,,
3/13/2023 18:39:48,8809,V/A,Traveler '00,657036 1025-2,No,,,,
3/13/2023 18:42:41,8810,Respect is Burning,A Night at the Playboy Mansion,ASW 49122-2 724384912222,Yes,,,,
3/13/2023 18:43:36,8811,Sleater-Kinney,All Hands on the Bad One,KRS 360,No,,,,
3/13/2023 18:44:43,8812,Looper,The Geometrid ,SPCD 499,Yes,,,,
3/13/2023 18:46:03,8813,Primal Scream,XTRMNTR,asm49260-2 724384926021,No,,,,
3/13/2023 18:47:35,8814,Grandaddy,The Sophtware Slump,V2 RECORD 63881-27068-2,Yes,,,,
3/13/2023 18:48:23,8815,Mendoza Line,We're All in This Alone,AHAON-111,No,,,,
3/16/2023 16:12:08,8815,The Mendoza Line,We're All in this Alone,AHAON-111,No,,,,
3/13/2023 18:49:19,8816,Macha and Bedhead,Macha Loved Bedhead,JETSET TWA027CD,No,,,,
3/13/2023 18:49:50,8817,Encore,Self Preservation,75008,No,,,,
3/13/2023 18:50:39,8818,Hefner,Boxing Hefner,PURE99CD,Yes,,,,
3/16/2023 16:14:46,8819,of Montreal,The Singles & Songles,AHAON-112,Yes,,,,
3/16/2023 16:16:41,8820,Piebald,The Rock Revolution Will Not Be Televised,BWR0226,No,,,,
3/16/2023 16:17:23,8821,V/A,DJ Kicks: Stereo MC's,N/A,Yes,,,,
3/16/2023 16:18:24,8822,V/A,Deep Concentration 3,OM-042,No,,,,
3/16/2023 16:19:04,8823,Sonic Sum,The Sanity Annex,OZO-88806-2,No,,,,
3/16/2023 16:42:56,8824,Nightmares on Wax,Sound of N.O.W.,OLE 432-2,Yes,,,,
3/16/2023 16:44:43,8826,V/A,Music From the Motion Picture Joyride,9 46825-2,No,,,,
3/16/2023 16:47:24,8827,V/A,Music From the Motion Picture Playing God,73138 35826-2,No,,,,
3/16/2023 16:48:25,8829,N/A,N/A,,,Missing,,,
3/16/2023 16:51:02,8831,V/A,All Over Me: Original Motion Picture Soundtrack,TVT 8110-2,No,,,,
3/16/2023 16:52:44,8832,V/A,Music from the Original Motion Picture Boogie Nights,cdp 7243 8 55631 2 6,Yes,,,,
3/16/2023 16:58:09,8833,V/A,The End of Violence: Songs from the Motion Picture Soundtrack,OPRD-30008,No,,,,
3/16/2023 17:00:23,8834,V/A,Things to Do in Denver When You're Dead,31454 0424 2,Yes,,,,
3/16/2023 16:54:39,8835,V/A,Music from the Motion Picture Pulp Fiction,MCAD-11103,No,,,,
3/16/2023 16:56:02,8838,V/A,Music from the Motion Picture Angus,9 45960-2,Yes,,,,
3/16/2023 16:59:17,8839,Danny Elfman,Batman Returns: Original Motion Picture Soundtrack,9 26972-2,Yes,,,,
3/16/2023 17:01:28,8841,V/A,Songs from the Cool World,9 45009-2,No,,,,
3/16/2023 17:03:42,8843,V/A,Music from the Motion Picture Batman Forever,ATLANTIC 82759-2,No,,,,
3/16/2023 17:04:15,8845,V/A,Music from the Motion Picture Heat,9 46144-2,Yes,,,,
3/16/2023 17:05:18,8846,V/A,Music from the Motion Picture Dead Man Walking ,CK 67522,Yes,,,,
3/16/2023 17:06:04,8848,V/A,City of Industry Soundtrack,314-524 308-2,No,,,,
3/16/2023 17:07:21,8849,V/A,Original Motion Picture Soundtrack: The Crow,82519-2,No,,,,
3/20/2023 15:44:39,8850,Dave Arnold,Shaken and Stirred: The David Arnold James Bond Project,31011,No,,,,
3/20/2023 15:45:59,8852,V/A,Tales from the Crypt Prsents: Demon Knight,ATLANTIC 82725-2,No,,,,
3/20/2023 15:47:16,8853,Elliott Smith,Music from the Miramax Motion Picture Soundtrack,DPRO 7087 6 12850 2 4,No,,,,
3/20/2023 15:49:15,8854,Shocker,"""No More Mr. Nice Guy""",DPRO-05316,No,,,,
3/20/2023 18:15:06,8855,V/A,The Truth About Cats and Dogs,31454 0507 2,No,,,,
3/20/2023 15:53:13,8856,V/A,The Craft: Music from the Motion Picture,CK 67626,No,,,,
3/20/2023 15:52:25,8857,V/A,So I Married an Axe Murderer,OK 57303,Yes,,,,
3/20/2023 15:50:12,8858,V/A,Tank Girl: Original Soundtrack from the United Artists Film,61760-2,No,,,,
3/23/2023 18:00:55,8859,V/A,Virtuosity: Original Motion Picture Soundtrack,RARD-11295,No,,,,
3/20/2023 15:50:54,8860,Welcome,Sun As Night Light,RXR 16,Yes,,,,
3/20/2023 15:51:31,8863,Kristin Hersh,A Cleaner Light,BAD 2KG1CD,No,,,,
3/20/2023 15:53:53,8864,Gus-Gus,Vs. t-world,CAD2KO2CD,Yes,,,,
3/20/2023 18:10:26,8865,Calexico,Hot Rail,Qs62cd,No,,,,
3/20/2023 18:16:14,8866,Jurassic 5,Quality Control,INTr-10092-2,No,,,,
3/20/2023 18:08:04,8867,Fontanelle,Fontanelle,krank-042,No,,,,
3/20/2023 18:17:55,8868,Shannon Wright,Maps of Tacit,qs68cd,No,,,,
3/20/2023 18:20:03,8869,Salteens,Short-Term Memories,ndr 019,Yes,,,,
3/20/2023 18:21:01,8870,Atombombpocketknife,Alpha Sounds,Southern 18573-2,No,,,,
3/20/2023 18:27:26,8871,Camper Van Beethoven,"Camper Van Beethoven Is Dead, Long Live Camper Van Beethoven",PAT200002,No,,,,
3/20/2023 18:26:28,8872,The Dandy Warhols,Tales from Slabtown,,No,,,,
3/20/2023 18:25:26,8873,Wolfie,"Wolfie, and the Coat and the Hat",KCO41,No,,,,
3/20/2023 18:24:35,8874,Tiara,Again Cast In,AW 053,No,,,,
3/20/2023 18:23:30,8875,Aloha,That's Your Fire,PRC-033,No,,,,
3/20/2023 18:22:10,8876,At The Drive In ,Split CD,,Yes,,,,
6/8/2023 19:16:25,8877,John Santos,Tribute to the Masters,CBCD025,Yes,,,,
6/8/2023 19:16:54,8878,Kings of Convenience,Kings of Convenience,KC046,No,,,,
6/8/2023 19:17:41,8879,Future Loop Foundation,PHunkRoc,LIQ 028CDL,Yes,,,,
6/8/2023 19:18:29,8880,V/A,Caipirissima,cai2030-2,No,,,,
6/8/2023 19:19:28,8881,Green Velvet,Green Velvet,9 47618-2,No,,Missing CD,,
6/8/2023 19:20:51,8882,DJ Krush,Code4109,WK 11458,No,,,,
6/8/2023 19:21:16,8883,The Modernist,Explosion,OLE 435-2 ,No,,,,
6/8/2023 19:22:24,8884,Pinetop Seven,Rigging the Toplights,ALP310/TRUCK10CD,Yes,,CD case is stuck closed with something.,,
6/8/2023 19:24:37,8885,Dwarves,Come Clean,86575-2,No,,,,
6/8/2023 19:25:07,8886,The Arrogants,Your Simple Beauty,Life 013,No,,,,
6/8/2023 19:25:35,8887,Rumah Sakit,Rumah Sakit,TRR26,Yes,,,,
6/8/2023 19:26:29,8888,V/A,Luaka Bop: Zero Accidents on the Job,72438-48922-2-7,No,,Double CD,,
6/8/2023 19:26:55,8889,The Aislers Set,Terrible Things Happen,slr 55,No,,,,
6/8/2023 19:27:47,8890,Lard,70's Rock Must Die,VIRUS 235CD,No,,,,
6/8/2023 19:28:41,8891,Modest Mouse & 764-Hero,Whenever You See Fit,S008CD,No,,,,
6/8/2023 19:29:18,8892,Red Elvises,Shake Your Pelvis,SBD 5014-CD,Yes,,,,
6/8/2023 19:30:37,8893,Panoply Academy Corps of Engineers,Concentus,SC33,No,,,,
6/8/2023 19:31:31,8894,V/A,S.F.W: Original Motion Picture Soundtrack,31454 0246 2,Yes,,,,
6/8/2023 19:32:36,8895,Christine Fellows,2 Little Birds,,No,,,,
6/8/2023 19:34:50,8896,V/A,A Fistful of Rock n' Roll,TP-021 CD,No,,,,
6/8/2023 19:35:32,8897,V/A,A Fistful of Rock n' Roll vol. 1,TP-020 CD,No,,,,
6/8/2023 19:36:47,8898,Lullaby Baxter Trio,Capable Egg,Atlantic 83260-2,No,,,,
6/8/2023 19:37:29,8899,V/A,Take Me Home,BRCD995,No,,,,
6/8/2023 19:38:11,8900,Jeff Buckley,Mystery White Boy,CK 69592,No,,,,
6/8/2023 19:38:53,8901,Richard Ashcroft,A Song for the Lovers [edit],,No,,,,
6/8/2023 19:39:22,8902,The Westbury Squares,The Westbury Squares,FZZCD-491-006,No,,,,
6/8/2023 19:40:52,8903,Sixteen Deluxe,Vision Take Me Make Me Never Forsake Me,Sugar Fix Recordings 0013,No,,,,
6/8/2023 19:45:02,8904,Tarwater,"Animals, Suns, & Atoms",MUTE 9128-2,No,,,,
6/8/2023 19:46:24,8906,V/A,Darla Records Six Year Anniversary Anthology,DRL-100,No,,4-disc compilation,,
6/8/2023 19:47:06,8907,The Delgatos,The Great Eastern,MNTECD 1021,No,,,,
6/8/2023 19:50:50,8908,Blonde Redhead,Melody of Certain Damaged Lemons,TG216CD,No,,,,
6/8/2023 19:53:59,8909,Family of God,Exiter,,No,,,,
6/8/2023 19:54:32,8910,Belle and Sebastian,Legal Man,OLE 448-2,No,,,,
6/8/2023 19:58:42,8912,Juliana Hatfield,Beautiful Creature,01143-1011-2,No,,,,
6/8/2023 20:03:31,8913,D.O.A.,Northern Avenger (Sudden Death),,No,,No front or back inserts. CD # number label replaced,,
6/8/2023 20:08:45,8914,V/A,Old School vs New School Vol. 1,JADV-41714-2,No,,,,
6/8/2023 20:09:16,8915,The Stooges,Funhouse,74071-2,Yes,,,,
6/8/2023 20:09:53,8916,Cranes,Population Four,61702-44005-2,Yes,,,,
6/8/2023 20:11:26,8917,Cranes,EP Collection,61702-44019-2,No,,,,
6/8/2023 20:12:23,8918,The Gloria Record,A Lull in Traffic,80121-1,No,,,,
6/8/2023 20:17:25,8919,Sunny Day Real Estate,The Rising Tide,tbcd-3541,No,,,,
6/8/2023 20:18:14,8920,The Promise Ring,Electric Pink,7-92258-1048-2-0,No,,,,
6/8/2023 20:18:44,8921,Ian Brown,Golden Greats,3145437202,No,,,,
6/8/2023 20:19:11,8922,Elk City,Status,AHA!013,No,,,,
6/8/2023 20:19:37,8923,Juliana's Pony,Total System Failure,01143-1012-2,Yes,,,,
6/8/2023 20:20:19,8924,V/A,Hot Pinball Rock Vol. 1,XTR006,No,,,,
6/8/2023 20:20:44,8925,Fiver,Strings for Satellites,DIW 33,No,,,,
6/8/2023 20:21:29,8926,Eleven,Avantgardedog,06949063-2,No,,,,
6/8/2023 20:22:08,8927,Crispus Attucks,Destroy the Teacher,,No,,,,
6/8/2023 20:12:58,8928,The Valentine Killers,The Valentine Killers,YIR 105,No,,,,
6/8/2023 20:23:01,8929,Billy Bragg & Wilco,Mermaid Ave Vol. 2,PRCD-1482,No,,,,
6/8/2023 20:23:40,8930,The 65 Film Show,Breathing Will Be Assisted,LOI-03,Yes,,,,
6/8/2023 20:24:41,8931,The Prescriptions,Why We Don't Rent to Women,JFR046,No,,,,
6/8/2023 20:25:13,8932,Sodastream,Practical Footwear,drive41,No,,,,
6/17/2023 15:21:30,8933,Joseph Arthur,Come to Where I'm From,CDRW87 7243 8 48982 2 9,No,,,,
6/17/2023 15:22:00,8934,Versus,Shangri-La,MRG 176,No,,,,
6/17/2023 15:25:16,8935,I Am Spoonbender,Teletwin,la-010,No,,,,
6/17/2023 15:26:01,8936,The Incredible Moses Leroy,Growing Up Clean in America,ULT-004,No,,,,
6/17/2023 15:27:00,8937,Half Japanese,Sing No Evil,dc173cd,No,,,,
6/17/2023 15:27:37,8938,Half Japanese,Our Solar System,dc174cd,No,,,,
6/17/2023 15:22:54,8939,V/A,A Four Way Stop,404 006,No,,,,
6/17/2023 15:23:48,8940,The Hillary Step,The Second Time Means Nothing,UR11 CD-011,No,,,,
6/17/2023 15:24:33,8941,Overflower,Flora and Fauna,bes-012,Yes,,CD itself is broken,,
6/17/2023 15:26:34,8942,V/A,Songs in the Key of Z,WHI 2367,Yes,,,,
6/17/2023 15:28:26,8943,P'Taah,Compressed Light,URCD060,No,,,,
6/17/2023 15:29:54,8944,Satoshi Tomiie,Full Lick,CK 62194,No,,,,
6/17/2023 15:30:21,8946,Mount Florida,Storm,OLE 417-2,No,,,,
6/17/2023 15:30:57,8947,Waldeck,Balance of the Force: Remixed,EMA 61004-2,Yes,,,,
6/17/2023 15:31:35,8948,V/A,Empire Records: The Soundtrack,31454 0384 2,Yes,,,,
6/17/2023 15:33:25,8949,V/A,In the Name of the Father: Music from the Motion Picture Soundtrack,314-518 814-2,No,,,,
6/17/2023 15:34:03,8950,V/A,Dickwad: Original Motion Picture Soundtrack,vs005,Yes,,,,
6/17/2023 15:34:57,8953,V/A,I Shot Andy Warhol: Music from and Inspired by the Motion Picture,92690-2,No,,,,
6/12/2023 18:11:43,8954,V/A,Lost Highway Film Soundtrack,INTD-90090,No,,,,
6/12/2023 18:12:30,8955,V/A,Lost in Space: Original Motion Picture Soundtrack,tvt 8180-2,No,,,,
6/12/2023 18:13:40,8956,V/A,Gas Food Lodging Original Motion Picture Soundtrack,MUTE 9 61424-2,No,,,,
6/12/2023 18:14:20,8957,V/A,Mississippi Masala,7 3333 35809-2,No,,,,
6/12/2023 18:15:02,8958,V/A,Strange Days: Music from the Motion Picture,EK 67226,No,,,,
6/12/2023 18:15:43,8959,V/A,Judge Dredd: Original Motion Picture Soundtrack,BK 67220,No,,,,
6/12/2023 18:16:09,8960,V/A,Johnny Mnemonic: Music from the Motion Picture,CK 66909,No,,,,
6/12/2023 18:17:26,8961,V/A,Music from and Inspired by The Jackal,MCA D-11688,No,,,,
6/12/2023 18:18:21,8962,V/A,Freejack Soundtrack,2959-20008-2,No,,,,
6/12/2023 18:19:23,8963,V/A,Hellraiser II: Hell on Earth Movie Soundtrack,382 480 007-2,No,,,,
6/12/2023 18:20:07,8964,V/A,Heavy Original Motion Picture Soundtrack,TVT 8000-2,No,,,,
6/12/2023 18:21:17,8966,V/A,Hideaway: Music from the Motion Picture,TVT 5610-2,No,,,,
6/12/2023 18:23:07,8968,V/A,"Faraway, So Close!: Original Motion Picture Soundtrack",7243 8 27216 2 8,No,,,,
6/12/2023 18:25:37,8969,Local 33,Foundations,,Yes,,"No version # as probably hand printed. Special thanks in booklet include ""Aaron at Radio 1190""",,
6/12/2023 18:26:15,8970,Trembling Blue Stars,The Rainbow,shinkansen 8CD,No,,,,
6/12/2023 18:26:46,8971,Juliana Hatfield,Hey Babe,MR0035-2,No,,,,
6/12/2023 18:27:37,8973,Morrissey,Viva Hate,9 23699-2,Yes,,,,
6/12/2023 18:28:06,8974,The Aisler's Set,The Last Match,slr 62,Yes,,,,
6/12/2023 18:29:02,8975,Willard Grant Conspiracy,Mojave,SRRCD 46,No,,,,
6/12/2023 18:29:29,8977,Richard Davies,Barbarians,KCO45,No,,,,
6/12/2023 18:30:04,8978,Saint Etienne,Sound of Water,SPCD 509,No,,,,
6/12/2023 18:30:34,8979,White Town,Peek & Poke,PAR-CD-044,No,,,,
6/12/2023 18:31:17,8980,Good Riddance,The Phenomenon of Craving,FAT611-2,No,,,,
6/12/2023 18:31:45,8981,V/A,Us,UP 079,No,,,,
6/12/2023 18:32:33,8982,Sonic Youth,nyc ghosts & flowers,GEFFEN,No,,Promo copy; missing CD,,
6/12/2023 18:33:49,8983,Nashville Pussy,High as Hell,TVT 3340-2,No,,,,
6/12/2023 18:35:24,8984,The Murder City Devils,In Name and Blood,SPCD 497,No,,,,
6/12/2023 18:36:11,8985,Archers of Loaf,Seconds Before the Accident (Live),,No,,,,
6/12/2023 18:40:47,8986,V/A,Radio 1190 Local Shakedown Comp Vol. 1,,No,,REALLY REALLY COOL comp of artists who had played at 1190 as of 2000!,,
6/12/2023 18:41:14,8987,Old 97's,Early Tracks,BS 066,No,,,,
6/12/2023 18:41:56,8988,Queens of the Stone Age,R,069490683-2,No,,,,
6/12/2023 18:42:40,8991,Sarah Dougher,The Walls Ablaze,MRLR12,No,,,,
6/12/2023 18:45:05,8992,Sleater-Kinney,Dig Me Out,KRS 279,No,,,,
6/12/2023 18:45:32,8993,Bracket,When All Else Fails,FAT 607-2,No,,,,
6/12/2023 18:45:56,8994,The Up On In,Steps for the Light,BTO-013,No,,,,
6/12/2023 18:46:40,8995,Boy Sets Fire,After the Eulogy,VR 119,No,,,,
6/12/2023 18:47:11,8996,Proudentall,What's Happening Here,SSS006,Yes,,,,
6/12/2023 18:48:11,8998,Mike Watt,Ball Hog or Tugboat?,CK 66464,No,,,,
6/12/2023 18:49:03,8999,The Smiths,Louder Than Bombs,9 25569-2,No,,,,
6/12/2023 18:49:33,9000,Slicker,Remixes,hefty 018,Yes,,,,
6/12/2023 18:53:46,9001,The Galactic Heroes,How About San Francisco?,mmr-010,No,,,,
6/12/2023 19:02:22,9002,BT,Movement in Still Life,NETTWERK 0 6700 30154 2 4,No,,,,
6/12/2023 19:02:44,9003,Semi-Gloss,The Falling Kind,,No,,,,
6/12/2023 19:05:37,9004,Arab Strap,Elephant Shoe,TWA028CD,No,,,,
6/12/2023 19:06:13,9005,Bluebird,The Two,PAC012,No,,,,
6/12/2023 19:09:18,9006,"Calvin, Don't Jump",Crystal Clear Mississippi,,Yes,,,,
6/12/2023 19:10:37,9007,Roger Joseph Manning Jr and Brian Reitzell,Logan's Sanctuary,EMN 7031,No,,,,
6/12/2023 19:11:25,9008,Knife in the Water,Red River,oc05cd,Yes,,,,
6/12/2023 19:12:20,9009,The Creatures,U.S. Retrace,ins516-2,No,,,,
6/12/2023 19:13:27,9010,Kitty Vermont,Wonderful You,MC009,No,,,,
6/12/2023 19:14:02,9011,V/A,A Fistful of Rock n' Roll Vol. 4,TP-023 CD,No,,,,
6/12/2023 20:32:01,9012,Camera Obscura,To Change the Shape of an Envelope,tmu 647,No,,,,
6/15/2023 13:17:01,9020,Ec8or,World Beaters,DHR CD 9,No,,,,
6/15/2023 13:18:15,9021,XTC,"WASP STAR - Apple Venus, volume 2",TVT 3260-2,Yes,,,,
6/15/2023 13:19:29,9022,The Cranes,The Tragedy of Oreste and Electra,,No,,Hand burned for us,,
6/15/2023 13:20:25,9026,People Under the Stairs,Question in the Form of an Answer,OM-036,No,,,,
6/15/2023 13:22:28,9028,Belle and Sebastian,"Fold your hands Child, you walk like a Peasant",OLE 429-2,No,,,,
6/15/2023 17:34:12,9031,All,Problematic,86585-2,No,,,,
3/24/2023 12:32:18,9091,The Flaming Lips,She Don’t Use Jelly,9 41102-2,No,,,,
6/15/2023 17:36:18,9091,The Flaming Lips,She Don't Use Jelly,9 41102-2,No,,,,
6/17/2023 16:54:19,9248,The Concretes,Boyoubetterunow,UP 085,No,,,,
6/15/2023 17:37:22,9275,V/A,DIgital Empire 3: Phuturism,6445-2,No,,,,
6/15/2023 17:38:17,9276,Mentallo & the Fixer,Love is the Law,met 154,No,,,,
6/15/2023 17:39:40,9277,V/A,Industrial: Music of the Shadows v3,6461-2,No,,,,
6/15/2023 17:40:50,9278,Halo_gen,Halo_gen,pen 125,No,,,,
6/15/2023 17:42:17,9279,Land of the Loops,Puttering About a Small Land,UP 080,No,,,,
6/15/2023 17:43:08,9280,Mirah,"You Think It's Like This, But It's Really Like This",klp112,No,,,,
6/15/2023 17:44:12,9281,Modest Mouse,The Moon & Antarctica,ek 63871,Yes,,,,
6/15/2023 17:44:49,9282,The Jazz June,The Medicine,IR36,No,,,,
6/15/2023 17:45:21,9283,The Beach Boys,2 in 1,,No,,Hand-burned CD.,,
6/15/2023 17:47:06,9285,Chicago Underground Duo,Synesthesia,THRILL077,No,,,,
6/15/2023 17:47:51,9286,The Cure,Boys Don't Cry,9 60786-2,No,,,,
6/15/2023 17:48:43,9287,Olive,Trickle,9 47709-2,No,,,,
6/15/2023 17:50:00,9288,Marshmallow Coast,Seniors & Juniors,kc036,No,,,,
6/15/2023 17:50:41,9289,Crystal Method,Vegas,UD-53266,No,,,,
6/15/2023 17:52:36,9290,Taproot,Fluoride Toothpaste,PRCD 300108,No,,Promo copy,,
6/15/2023 19:03:34,9291,The Dandy Warhols,Thirteen Tales from Urban Bohemia,CDP 7243 8 57787 2 8,No,,,,
6/17/2023 16:03:52,9292,Stars,A Lot of Little Lies for the Sake of One Big Truth EP,HRH014,No,,,,
6/17/2023 16:04:59,9293,Trans Am,You Can Always Get What You Want,THRILL082,No,,,,
6/17/2023 16:07:40,9294,Jurassic-5,Quality Control,069490664-2,No,,,,
6/17/2023 16:07:58,9295,Pedro the Lion,Progress,s-011,No,,,,
6/17/2023 16:08:55,9296,Sandra Collins,Tranceport 3,54648-2,No,,,,
6/17/2023 16:09:29,9297,Paul Van Dyk,Out There and Back,Mute 9127-2,No,,,,
6/17/2023 16:10:16,9298,Sasha and John Digweed,Communicate,54657-2,Yes,,,,
6/17/2023 16:11:02,9299,The Malakas,Too Good to Be True,I-94-004 2000,Yes,,,,
6/17/2023 16:11:30,9300,Matt Suggs,Golden Days Before They End,MRG177CD,No,,,,
6/17/2023 16:12:14,9301,DB,The Higher Education Drum 'N' Bass Session,9 47695-2,No,,,,
6/17/2023 16:13:02,9302,Royal Trux,Pound for Pound,DC188CD,No,,,,
6/17/2023 16:13:50,9303,Elf Power,Vainly Clutching at Phantom Limbs,AR-013,No,,,,
6/17/2023 16:14:27,9305,Richard Ashcroft,Alone With Everybody,7243 8 49494 2 6,No,,,,
6/17/2023 16:15:02,9306,Infesticons,Gun Hill Road,bdcd017,No,,,,
6/17/2023 16:15:58,9307,Fink,Fresh Produce,utone cd39,No,,,,
6/17/2023 16:16:52,9308,Darren Emerson,Global Underground 015: Uruguay,gu:015,No,,,,
6/17/2023 16:17:19,9309,Barcelona,Robot Trouble,MAR 058,No,,,,
6/17/2023 16:17:47,9310,V/A,Love Ballads,MAR054,Yes,,,,
6/17/2023 16:18:13,9311,The Clientele,A Fading Summer EP,MAR060,No,,,,
6/17/2023 16:18:49,9312,V/A,Beautiful Noise (The Apocalypse),NOISECD425,No,,,,
6/17/2023 16:19:20,9313,Dianogah,Battle Champions,18578-2,No,,,,
6/17/2023 16:20:02,9314,Mr. C,Subterrain 100% Unreleased,WIL33670,No,,,,
6/17/2023 16:20:39,9315,VNV Nation,Empires,MET 170,Yes,,,,
6/17/2023 16:21:19,9316,Din_Fiv,Escape to Reality,MET 146,No,,,,
6/17/2023 16:32:40,9317,Jack Drag,Soft Songs LP: Aviating,SF019,No,,,,
6/17/2023 16:33:35,9319,Sean Na Na,Dance 'til Your Baby is a Man,TMU 037,No,,,,
6/17/2023 16:34:35,9320,V/A,Banter,can2507,No,,,,
6/17/2023 16:34:58,9321,Cobolt,Spirit on Parole,TFT 004,No,,,,
6/17/2023 16:35:55,9322,Bald Rapunzel,Diazepam,Resin GolG013/DIS 124 5,No,,,,
6/17/2023 16:36:35,9323,New York Dolls,NY Tapes 72-73,62257.2,No,,,,
6/17/2023 16:38:05,9324,All Transistor,Parts,ojet-005,No,,,,
6/17/2023 16:38:45,9326,Louis Jordan,Louis Jordan 1942-1954,,No,,Handmade CD.,,
6/17/2023 16:39:34,9327,Empire State,Empire State,WRM101CD,No,,,,
6/17/2023 16:40:09,9328,Modern Lovers,Modern Lovers Compilation,,No,,Handmade CD.,,
6/17/2023 16:40:36,9329,Television,Marquee Moon,,No,,Hand burned copy,,
6/17/2023 16:41:30,9330,Locust,Morning Light,31026-2,No,,,,
